# GameN, gameLength, gameElo
1.0,162.0,2000.0
2.0,114.0,2000.0
3.0,105.0,2000.3
4.0,130.0,2000.5
5.0,140.0,2000.7
6.0,139.0,2000.9
7.0,111.0,2001.1
8.0,127.0,2001.3
9.0,144.0,2001.5
10.0,136.0,2001.7
11.0,87.0,2001.9
12.0,180.0,2002.0
13.0,75.0,2002.2
14.0,127.0,2002.4
15.0,183.0,2002.5
16.0,166.0,1951.9
17.0,120.0,1952.1
18.0,157.0,1952.3
19.0,86.0,1952.5
20.0,95.0,1952.7
21.0,151.0,1952.9
22.0,84.0,1953.1
23.0,64.0,1953.3
24.0,68.0,1976.1
25.0,124.0,1995.7
26.0,130.0,1995.9
27.0,97.0,1996.0
28.0,126.0,1996.1
29.0,155.0,1996.3
30.0,141.0,1969.5
31.0,104.0,1988.9
32.0,72.0,2005.8
33.0,64.0,2006.0
34.0,255.0,1979.0
35.0,142.0,1955.3
36.0,136.0,1934.5
37.0,64.0,1934.7
38.0,95.0,1894.3
39.0,115.0,1918.9
40.0,75.0,1940.6
41.0,151.0,1901.0
42.0,88.0,1882.7
43.0,117.0,1866.5
44.0,214.0,1852.2
45.0,119.0,1852.4
46.0,100.0,1839.7
47.0,121.0,1828.2
48.0,144.0,1850.3
49.0,180.0,1850.6
50.0,107.0,1850.8
51.0,158.0,1870.2
52.0,119.0,1870.4
53.0,119.0,1870.7
54.0,130.0,1858.7
55.0,120.0,1859.0
56.0,89.0,1848.2
57.0,100.0,1848.5
58.0,154.0,1838.7
59.0,163.0,1865.9
60.0,168.0,1866.2
61.0,80.0,1866.4
62.0,115.0,1855.3
63.0,144.0,1845.2
64.0,145.0,1862.7
65.0,90.0,1852.8
66.0,91.0,1853.0
67.0,120.0,1879.0
68.0,96.0,1879.3
69.0,101.0,1860.7
70.0,92.0,1885.0
71.0,92.0,1901.8
72.0,80.0,1880.7
73.0,105.0,1861.8
74.0,116.0,1850.5
75.0,131.0,1833.8
76.0,175.0,1824.2
77.0,114.0,1809.2
78.0,87.0,1829.4
79.0,102.0,1847.7
80.0,82.0,1830.5
81.0,128.0,1821.6
82.0,63.0,1840.8
83.0,132.0,1858.1
84.0,166.0,1840.5
85.0,83.0,1840.8
86.0,103.0,1831.9
87.0,98.0,1856.6
88.0,133.0,1840.3
89.0,111.0,1824.7
90.0,85.0,1848.5
91.0,103.0,1831.9
92.0,126.0,1849.3
93.0,224.0,1849.5
94.0,94.0,1849.7
95.0,107.0,1850.0
96.0,118.0,1834.9
97.0,104.0,1852.7
98.0,114.0,1842.2
