# GameN, gameLength, gameElo, minBase, dinBase
1.0,133.0,1400.0,6.3,15.2
2.0,177.0,1400.0,7.2,14.2
3.0,146.0,1407.6,4.5,17.1
4.0,185.0,1414.3,4.7,16.8
5.0,152.0,1420.2,4.9,16.5
6.0,169.0,1425.7,4.0,17.3
7.0,86.0,1430.8,4.3,17.2
8.0,93.0,1435.5,5.9,15.8
9.0,112.0,1440.0,4.5,16.8
10.0,85.0,1444.3,5.3,16.2
11.0,129.0,1448.3,5.6,15.9
12.0,100.0,1452.2,4.8,16.4
13.0,121.0,1455.9,4.2,17.2
14.0,210.0,1459.4,5.7,15.7
15.0,123.0,1462.9,4.3,17.0
16.0,145.0,1466.2,4.2,17.0
17.0,149.0,1469.4,5.1,16.3
18.0,186.0,1472.5,4.6,16.8
19.0,118.0,1475.5,3.2,18.1
20.0,95.0,1478.4,4.9,16.3
21.0,163.0,1481.2,5.8,15.7
22.0,159.0,1484.0,3.1,18.3
23.0,89.0,1486.7,4.0,17.2
24.0,146.0,1463.6,3.8,17.6
25.0,76.0,1443.9,3.7,17.6
26.0,179.0,1471.5,3.8,17.5
27.0,115.0,1495.4,5.4,16.1
28.0,139.0,1497.8,4.4,17.0
29.0,203.0,1500.1,5.3,16.1
30.0,78.0,1502.4,5.7,15.7
31.0,72.0,1522.1,4.6,16.5
32.0,119.0,1539.3,4.6,17.1
33.0,148.0,1541.1,4.2,17.0
34.0,97.0,1542.8,5.1,16.5
35.0,142.0,1557.5,4.0,17.3
36.0,95.0,1559.1,5.0,16.1
37.0,103.0,1560.7,5.6,15.7
38.0,81.0,1573.3,3.8,17.7
39.0,174.0,1574.8,4.5,16.8
40.0,158.0,1546.0,4.2,17.3
41.0,196.0,1547.6,3.9,17.3
42.0,114.0,1549.2,5.3,16.1
43.0,67.0,1562.9,4.5,17.2
44.0,300.0,1564.4,6.2,15.4
45.0,184.0,1537.6,4.6,16.7
46.0,116.0,1513.7,3.7,17.7
47.0,125.0,1492.5,4.3,17.0
48.0,157.0,1494.6,4.7,16.6
49.0,300.0,1496.7,5.7,15.7
50.0,129.0,1518.4,5.2,16.3
51.0,131.0,1498.5,5.5,16.1
52.0,131.0,1500.5,4.2,17.2
53.0,193.0,1520.1,4.5,17.0
54.0,124.0,1501.9,5.2,16.2
55.0,230.0,1485.8,3.6,17.6
56.0,300.0,1487.9,5.1,16.3
57.0,135.0,1510.0,5.6,15.9
58.0,97.0,1491.2,4.1,17.1
59.0,109.0,1493.2,5.4,16.3
60.0,105.0,1476.4,5.2,16.4
61.0,146.0,1461.4,6.0,15.5
62.0,111.0,1448.0,4.6,16.8
63.0,81.0,1450.5,4.4,16.9
64.0,145.0,1452.9,3.8,17.4
65.0,126.0,1470.4,4.4,17.0
66.0,178.0,1491.4,4.5,16.8
67.0,300.0,1512.5,6.0,15.7
68.0,300.0,1514.3,5.2,16.3
69.0,132.0,1533.0,4.9,16.4
70.0,124.0,1549.7,5.4,16.0
71.0,117.0,1551.1,4.3,17.0
72.0,142.0,1552.4,3.0,18.4
73.0,127.0,1529.5,4.5,16.8
74.0,300.0,1546.3,6.0,15.5
75.0,89.0,1547.7,3.4,18.0
76.0,300.0,1528.7,7.6,13.9
77.0,300.0,1510.4,6.9,14.7
78.0,126.0,1528.0,5.0,16.6
79.0,300.0,1541.3,6.5,14.9
80.0,84.0,1522.9,3.4,17.7
81.0,203.0,1522.7,5.0,16.5
82.0,300.0,1502.2,5.4,16.0
83.0,81.0,1503.9,4.8,16.7
84.0,137.0,1488.4,4.2,17.2
85.0,100.0,1473.4,3.1,18.2
86.0,106.0,1475.4,4.0,17.2
87.0,96.0,1477.4,5.1,16.3
88.0,157.0,1479.4,3.0,18.2
89.0,300.0,1481.3,6.1,15.4
90.0,92.0,1496.7,4.3,17.1
91.0,173.0,1482.2,4.0,17.4
92.0,165.0,1484.1,5.5,15.8
93.0,141.0,1498.5,4.2,17.2
94.0,103.0,1500.2,3.9,17.6
95.0,300.0,1484.2,7.2,14.3
96.0,122.0,1469.8,5.1,16.4
97.0,127.0,1472.6,4.4,17.0
98.0,121.0,1474.6,3.7,17.7
99.0,231.0,1476.6,6.2,15.2
100.0,208.0,1458.6,4.9,16.6
101.0,103.0,1478.5,4.9,16.4
102.0,115.0,1480.4,3.4,17.9
103.0,168.0,1466.9,6.0,15.5
104.0,300.0,1454.5,7.9,13.4
105.0,159.0,1469.9,4.8,16.7
106.0,161.0,1483.9,4.1,17.3
107.0,171.0,1465.5,5.0,16.4
108.0,300.0,1467.5,6.0,15.3
109.0,129.0,1455.3,4.3,17.0
110.0,133.0,1471.9,4.2,17.2
111.0,201.0,1454.9,5.4,16.0
112.0,120.0,1443.8,3.0,18.2
113.0,101.0,1446.0,4.5,16.7
114.0,131.0,1461.7,4.6,16.8
115.0,107.0,1446.5,5.3,16.5
116.0,300.0,1448.7,5.5,16.0
117.0,116.0,1433.1,4.4,16.9
118.0,108.0,1419.8,3.6,17.6
119.0,164.0,1409.3,4.5,16.9
120.0,300.0,1399.6,8.0,13.4
121.0,78.0,1390.7,2.5,18.7
122.0,103.0,1412.6,2.9,18.5
123.0,118.0,1402.7,5.3,16.4
124.0,194.0,1393.9,5.4,15.9
125.0,155.0,1383.0,5.0,16.6
126.0,128.0,1386.0,4.2,17.1
127.0,141.0,1375.9,4.5,16.8
128.0,147.0,1379.0,4.2,17.0
129.0,168.0,1382.0,4.0,17.4
130.0,69.0,1398.1,5.2,16.3
131.0,78.0,1400.9,3.8,17.8
132.0,55.0,1388.4,3.7,17.5
133.0,168.0,1410.0,4.6,16.8
134.0,93.0,1430.3,3.1,18.4
135.0,300.0,1414.1,5.2,16.3
136.0,195.0,1434.0,3.9,17.3
137.0,91.0,1447.7,3.3,18.0
138.0,148.0,1433.9,4.6,16.7
139.0,113.0,1423.0,3.8,17.6
140.0,300.0,1410.9,5.5,16.2
141.0,112.0,1400.5,4.6,16.8
142.0,134.0,1405.8,4.9,16.7
143.0,85.0,1408.3,3.5,17.9
144.0,97.0,1398.7,2.8,18.4
145.0,176.0,1384.3,4.8,16.8
146.0,106.0,1371.0,4.0,17.4
147.0,132.0,1374.1,4.5,17.0
148.0,146.0,1366.9,4.2,17.0
149.0,151.0,1387.3,4.2,17.1
150.0,191.0,1377.2,3.9,17.5
151.0,93.0,1380.1,3.2,18.0
152.0,107.0,1370.7,4.7,16.8
153.0,101.0,1387.2,4.1,17.5
154.0,176.0,1390.0,4.0,17.5
155.0,156.0,1381.5,4.9,16.7
156.0,201.0,1384.4,6.6,14.7
157.0,140.0,1375.7,3.0,18.3
158.0,137.0,1395.1,4.8,16.5
159.0,300.0,1413.1,6.3,15.0
160.0,109.0,1429.7,3.1,18.1
161.0,143.0,1443.0,5.5,16.1
162.0,171.0,1459.4,4.3,17.0
163.0,293.0,1442.9,4.5,16.9
164.0,300.0,1444.9,4.7,16.5
165.0,68.0,1434.9,3.1,18.1
166.0,73.0,1453.6,2.9,18.3
167.0,91.0,1470.8,3.3,17.9
168.0,120.0,1457.5,4.5,16.8
169.0,98.0,1446.1,3.4,17.9
170.0,300.0,1431.0,5.4,15.9
171.0,123.0,1421.0,4.4,16.8
172.0,144.0,1422.5,5.0,16.2
173.0,118.0,1413.3,4.5,17.1
174.0,118.0,1426.8,3.9,17.3
175.0,300.0,1415.9,4.6,16.8
176.0,168.0,1418.2,4.4,17.0
177.0,100.0,1435.5,3.1,18.2
178.0,114.0,1453.6,3.6,17.6
179.0,112.0,1437.5,4.9,16.8
180.0,78.0,1427.5,3.2,18.0
181.0,45.0,1415.1,2.2,19.0
182.0,300.0,1402.0,4.0,17.4
183.0,101.0,1390.5,3.8,17.5
184.0,110.0,1382.3,5.8,15.8
185.0,114.0,1372.9,3.4,17.8
186.0,159.0,1363.1,4.7,16.8
187.0,147.0,1378.1,4.4,17.0
188.0,207.0,1370.6,3.4,17.8
189.0,300.0,1384.7,4.1,17.2
190.0,110.0,1404.0,3.1,18.1
191.0,87.0,1405.4,4.2,17.2
192.0,300.0,1417.6,5.5,15.9
193.0,180.0,1408.2,4.3,17.1
194.0,86.0,1411.7,4.1,17.3
195.0,300.0,1430.2,6.6,14.8
