# GameN, gameLength, gameElo
1.0,214.0,1000.0
2.0,264.0,1000.0
3.0,112.0,958.0
4.0,200.0,1000.5
5.0,98.0,1035.8
6.0,122.0,1065.8
7.0,153.0,1091.8
8.0,214.0,1114.6
9.0,164.0,1075.4
10.0,136.0,1098.1
11.0,238.0,1062.2
12.0,192.0,1084.8
13.0,123.0,1051.5
14.0,85.0,1080.4
15.0,156.0,1100.4
16.0,260.0,1067.8
17.0,113.0,1042.0
18.0,193.0,1069.4
19.0,196.0,1088.9
20.0,90.0,1058.9
21.0,149.0,1031.3
22.0,204.0,1056.2
23.0,183.0,1031.4
24.0,112.0,1006.5
25.0,183.0,983.5
26.0,168.0,965.6
27.0,95.0,949.1
28.0,230.0,974.2
29.0,140.0,958.5
30.0,210.0,982.6
31.0,167.0,962.3
32.0,204.0,985.8
33.0,148.0,965.6
34.0,250.0,988.5
35.0,130.0,967.7
36.0,137.0,949.4
37.0,136.0,931.9
38.0,130.0,957.5
39.0,157.0,944.6
40.0,107.0,973.0
41.0,242.0,998.5
42.0,122.0,1018.3
43.0,181.0,1036.9
44.0,188.0,1054.4
45.0,173.0,1032.9
46.0,171.0,1014.4
47.0,115.0,996.6
48.0,196.0,976.6
49.0,192.0,962.4
50.0,105.0,983.3
51.0,165.0,965.4
52.0,193.0,951.5
53.0,230.0,976.4
54.0,111.0,995.0
55.0,180.0,1013.7
56.0,229.0,994.6
57.0,157.0,1011.1
58.0,187.0,989.4
59.0,172.0,1006.3
60.0,250.0,1028.1
61.0,150.0,1047.6
62.0,226.0,1066.7
63.0,136.0,1047.5
64.0,136.0,1065.5
65.0,140.0,1077.5
66.0,155.0,1053.7
67.0,125.0,1070.2
68.0,209.0,1085.1
69.0,127.0,1101.1
70.0,220.0,1116.8
71.0,163.0,1127.3
72.0,182.0,1106.3
73.0,127.0,1084.1
74.0,135.0,1068.0
75.0,177.0,1087.7
76.0,123.0,1066.5
77.0,160.0,1083.7
78.0,211.0,1094.9
79.0,118.0,1109.8
80.0,124.0,1119.4
81.0,104.0,1128.2
82.0,186.0,1103.3
83.0,203.0,1116.9
84.0,263.0,1126.7
85.0,218.0,1109.1
86.0,300.0,1121.7
87.0,124.0,1134.4
88.0,171.0,1132.9
89.0,162.0,1145.3
90.0,243.0,1120.1
91.0,189.0,1100.0
92.0,190.0,1109.8
93.0,157.0,1119.2
94.0,124.0,1132.4
95.0,92.0,1142.6
96.0,136.0,1120.9
97.0,125.0,1133.3
98.0,188.0,1148.7
99.0,117.0,1162.8
100.0,99.0,1169.9
101.0,270.0,1179.6
102.0,207.0,1189.0
103.0,226.0,1201.0
104.0,183.0,1184.7
105.0,199.0,1194.0
106.0,164.0,1205.3
107.0,153.0,1189.8
108.0,128.0,1201.6
109.0,143.0,1207.2
110.0,242.0,1186.8
111.0,135.0,1195.6
112.0,184.0,1212.1
113.0,300.0,1222.0
114.0,199.0,1198.6
115.0,212.0,1178.0
116.0,193.0,1163.9
117.0,189.0,1151.1
118.0,147.0,1158.2
119.0,164.0,1171.4
120.0,116.0,1179.6
121.0,138.0,1191.3
122.0,164.0,1178.0
123.0,227.0,1185.9
124.0,147.0,1163.6
125.0,231.0,1180.7
126.0,173.0,1160.0
127.0,218.0,1148.7
128.0,108.0,1161.0
129.0,97.0,1169.4
130.0,116.0,1151.4
131.0,138.0,1160.1
132.0,207.0,1178.9
133.0,72.0,1190.8
134.0,176.0,1205.0
135.0,112.0,1210.2
136.0,298.0,1196.7
137.0,101.0,1213.6
138.0,177.0,1223.4
139.0,226.0,1238.4
140.0,177.0,1246.6
141.0,174.0,1260.0
142.0,104.0,1267.0
143.0,228.0,1274.5
144.0,143.0,1255.6
145.0,191.0,1239.1
146.0,212.0,1243.4
147.0,266.0,1249.7
148.0,141.0,1261.4
149.0,300.0,1245.4
150.0,214.0,1251.5
151.0,182.0,1262.8
152.0,161.0,1248.8
153.0,157.0,1259.9
154.0,300.0,1235.1
155.0,198.0,1241.5
156.0,207.0,1247.5
157.0,277.0,1255.3
158.0,96.0,1240.9
159.0,171.0,1247.0
160.0,201.0,1258.0
161.0,144.0,1271.2
162.0,295.0,1284.9
163.0,92.0,1263.2
164.0,200.0,1277.9
165.0,300.0,1285.0
166.0,187.0,1269.6
167.0,145.0,1256.3
168.0,93.0,1261.8
169.0,189.0,1241.4
170.0,176.0,1247.1
171.0,235.0,1251.0
172.0,300.0,1236.2
173.0,241.0,1246.9
174.0,98.0,1233.8
175.0,155.0,1222.5
176.0,90.0,1199.4
177.0,82.0,1209.4
178.0,300.0,1217.8
179.0,300.0,1224.0
180.0,148.0,1210.8
181.0,173.0,1213.4
182.0,260.0,1202.1
183.0,232.0,1219.8
184.0,174.0,1205.5
185.0,288.0,1193.7
186.0,135.0,1205.9
187.0,300.0,1222.5
188.0,300.0,1230.1
189.0,224.0,1245.2
190.0,244.0,1259.3
191.0,164.0,1272.3
192.0,234.0,1254.1
193.0,161.0,1262.0
194.0,203.0,1271.7
195.0,163.0,1285.9
196.0,162.0,1291.5
197.0,110.0,1276.7
198.0,198.0,1289.2
199.0,287.0,1275.1
200.0,265.0,1279.9
201.0,229.0,1291.4
202.0,82.0,1277.6
203.0,159.0,1288.8
204.0,99.0,1274.7
205.0,152.0,1278.3
206.0,138.0,1265.3
207.0,143.0,1248.0
208.0,109.0,1255.6
209.0,104.0,1264.8
210.0,300.0,1277.0
211.0,170.0,1264.0
212.0,162.0,1263.2
213.0,96.0,1270.4
214.0,150.0,1276.2
215.0,265.0,1288.0
216.0,151.0,1301.4
217.0,202.0,1286.9
218.0,273.0,1273.6
219.0,123.0,1284.8
220.0,141.0,1271.6
221.0,189.0,1250.3
222.0,174.0,1264.5
223.0,205.0,1252.5
224.0,157.0,1235.5
225.0,116.0,1249.5
226.0,123.0,1256.8
227.0,190.0,1267.4
228.0,126.0,1272.1
229.0,144.0,1281.4
230.0,152.0,1293.7
231.0,153.0,1279.3
232.0,134.0,1267.0
233.0,177.0,1255.1
234.0,145.0,1264.6
235.0,89.0,1273.5
236.0,245.0,1284.0
237.0,229.0,1296.0
238.0,165.0,1309.0
239.0,106.0,1293.0
240.0,87.0,1280.2
241.0,195.0,1264.6
242.0,75.0,1271.1
243.0,111.0,1284.5
244.0,271.0,1269.4
245.0,253.0,1252.7
246.0,182.0,1267.2
247.0,144.0,1280.7
248.0,161.0,1268.9
249.0,195.0,1281.5
250.0,208.0,1293.7
251.0,188.0,1296.8
252.0,85.0,1307.9
253.0,214.0,1317.7
254.0,201.0,1305.1
255.0,134.0,1318.5
256.0,103.0,1327.4
257.0,122.0,1339.2
258.0,212.0,1318.7
259.0,300.0,1303.9
260.0,140.0,1308.6
261.0,160.0,1295.9
262.0,215.0,1305.8
263.0,114.0,1315.6
264.0,300.0,1327.6
265.0,186.0,1314.0
266.0,180.0,1298.1
267.0,132.0,1308.2
268.0,149.0,1291.1
269.0,162.0,1295.0
270.0,118.0,1305.9
271.0,174.0,1316.5
272.0,300.0,1301.8
273.0,292.0,1313.0
274.0,219.0,1325.4
275.0,107.0,1336.8
276.0,190.0,1348.1
277.0,300.0,1355.6
278.0,179.0,1341.5
279.0,131.0,1328.4
280.0,116.0,1338.9
281.0,165.0,1347.8
282.0,132.0,1356.0
283.0,147.0,1340.6
284.0,122.0,1326.8
285.0,129.0,1305.6
286.0,160.0,1314.2
287.0,179.0,1323.6
288.0,300.0,1328.4
289.0,188.0,1339.3
290.0,194.0,1325.6
291.0,217.0,1335.0
292.0,156.0,1341.1
