# GameN, gameLength, gameElo
1.0,155.0,1000.0
2.0,204.0,1000.0
3.0,164.0,1042.0
4.0,161.0,1075.5
5.0,300.0,1032.5
6.0,157.0,996.0
7.0,189.0,964.4
8.0,97.0,936.8
9.0,144.0,971.9
10.0,190.0,1003.1
11.0,84.0,974.7
12.0,116.0,949.3
13.0,125.0,926.3
14.0,179.0,905.5
15.0,208.0,886.5
16.0,174.0,919.9
17.0,272.0,950.6
18.0,226.0,929.4
19.0,145.0,910.0
20.0,149.0,936.7
21.0,114.0,964.6
22.0,125.0,985.1
23.0,241.0,1009.2
24.0,206.0,1025.2
25.0,195.0,1046.1
26.0,181.0,1019.9
27.0,212.0,989.6
28.0,143.0,968.3
29.0,123.0,948.6
30.0,139.0,973.3
31.0,97.0,953.6
32.0,115.0,935.2
33.0,159.0,913.0
34.0,214.0,935.2
35.0,300.0,960.4
36.0,140.0,979.7
37.0,119.0,959.6
38.0,229.0,977.2
39.0,258.0,999.0
40.0,294.0,1013.2
41.0,187.0,988.1
42.0,205.0,962.4
43.0,111.0,939.7
44.0,300.0,958.6
45.0,300.0,977.3
46.0,251.0,995.7
47.0,110.0,1012.1
48.0,72.0,1026.5
49.0,198.0,1006.1
50.0,161.0,1024.7
51.0,231.0,1003.7
52.0,136.0,984.8
53.0,73.0,1000.4
54.0,209.0,1014.2
55.0,73.0,989.8
56.0,91.0,1004.1
57.0,126.0,985.6
58.0,300.0,968.4
59.0,114.0,987.4
60.0,147.0,984.0
61.0,154.0,1002.8
62.0,129.0,985.9
63.0,68.0,999.3
64.0,289.0,1011.4
65.0,113.0,1028.5
66.0,135.0,1038.7
67.0,229.0,1052.6
68.0,157.0,1029.0
69.0,243.0,1042.4
70.0,263.0,1057.0
71.0,220.0,1067.4
72.0,300.0,1043.9
73.0,156.0,1026.5
74.0,55.0,1040.0
75.0,300.0,1050.6
76.0,201.0,1033.2
77.0,163.0,1047.2
78.0,102.0,1031.0
79.0,246.0,1041.4
80.0,300.0,1026.3
81.0,149.0,1006.4
82.0,233.0,1025.4
83.0,300.0,1045.2
84.0,157.0,1053.8
85.0,76.0,1029.6
86.0,97.0,1042.7
87.0,143.0,1025.5
88.0,212.0,1034.4
89.0,130.0,1018.4
90.0,95.0,1004.0
91.0,208.0,1015.7
92.0,213.0,996.0
93.0,142.0,981.8
94.0,84.0,969.8
95.0,98.0,990.5
96.0,95.0,1005.0
97.0,53.0,1018.2
98.0,138.0,1005.3
99.0,226.0,991.5
100.0,171.0,980.4
101.0,300.0,1000.0
102.0,300.0,989.0
103.0,79.0,1005.1
104.0,255.0,994.4
105.0,116.0,978.1
106.0,300.0,960.9
107.0,295.0,975.2
108.0,98.0,954.0
109.0,81.0,969.9
110.0,300.0,986.7
111.0,300.0,971.7
112.0,300.0,962.9
113.0,300.0,949.6
114.0,300.0,952.9
115.0,300.0,939.2
116.0,113.0,927.4
117.0,87.0,928.2
118.0,233.0,941.9
119.0,87.0,931.1
120.0,106.0,913.2
121.0,127.0,928.4
122.0,193.0,944.2
123.0,61.0,956.6
124.0,97.0,973.6
125.0,96.0,991.2
126.0,225.0,1008.9
127.0,73.0,1025.7
128.0,85.0,1035.4
129.0,300.0,1048.2
130.0,300.0,1030.2
131.0,121.0,1027.4
132.0,300.0,1039.5
133.0,173.0,1053.3
134.0,255.0,1035.9
135.0,242.0,1017.4
136.0,107.0,1031.4
137.0,228.0,1017.1
138.0,215.0,997.0
139.0,63.0,981.0
140.0,299.0,967.5
141.0,89.0,984.3
142.0,124.0,967.5
143.0,182.0,981.1
144.0,210.0,966.1
145.0,103.0,981.0
146.0,94.0,966.9
147.0,300.0,984.2
148.0,188.0,969.8
149.0,68.0,986.3
150.0,82.0,999.7
151.0,177.0,1012.1
152.0,261.0,1026.1
153.0,262.0,1035.0
