# GameN, gameLength, gameElo, minBase, dinBase, meandistMine, meandistDine, isInFront, carryEnimy, carryAlly
1.00000,300.00000,1000.00000,5.49437,16.02783,26.20411,10.44864,0.55136,0.23459,0.08482
2.00000,153.00000,1000.00000,5.47817,16.13319,22.94214,12.42795,0.50109,0.64520,0.45852
3.00000,171.00000,998.16717,4.48843,17.03352,30.52115,17.11652,0.50000,0.23943,0.16999
4.00000,103.00000,996.52803,4.75264,16.61782,25.46073,16.29660,0.50000,0.17351,0.02931
5.00000,122.00000,1032.23667,4.87638,16.52999,27.05263,21.40024,0.64259,0.28274,0.13219
6.00000,102.00000,1030.48963,5.16138,16.15562,26.34870,22.02450,0.71902,0.17867,0.01009
7.00000,166.00000,1018.98072,4.54399,16.81867,23.93884,17.52790,0.64861,0.13948,0.02790
8.00000,194.00000,1017.48976,4.43851,17.08323,21.62112,18.98137,0.57826,0.18882,0.13540
9.00000,191.00000,1016.05978,5.21098,16.32549,27.52078,23.65725,0.54745,0.12000,0.02353
10.00000,109.00000,1014.68240,4.60823,16.69589,27.79428,21.01073,0.65832,0.32200,0.30590
11.00000,89.00000,1061.52121,4.13559,17.05737,33.83051,23.10300,0.50000,0.05606,0.02216
12.00000,138.00000,1059.83143,4.44083,17.01479,23.51775,22.13905,0.62278,0.18195,0.07249
13.00000,218.00000,1102.46894,6.01618,15.53088,26.73676,20.67059,0.75000,0.23676,0.13015
14.00000,105.00000,1089.32807,4.83995,16.59795,25.77081,16.91549,0.50000,0.50704,0.12036
15.00000,136.00000,1128.84409,4.69720,16.51832,32.07651,20.15841,0.51616,0.06142,0.02371
16.00000,126.00000,1145.23826,4.75136,16.63301,28.02823,14.93268,0.59989,0.21716,0.07926
17.00000,120.00000,1142.79346,4.17288,17.15201,24.82265,16.59463,0.58867,0.15052,0.09687
18.00000,194.00000,1157.83093,5.90416,15.59966,27.82528,23.40288,0.58439,0.29262,0.09075
19.00000,98.00000,1142.59680,3.98868,17.22914,34.31117,21.38755,0.50000,0.07214,0.03395
20.00000,240.00000,1128.45654,5.11503,16.38033,19.55659,23.77273,0.52180,0.15770,0.31540
21.00000,149.00000,1126.34781,3.95375,17.51901,23.63309,17.83248,0.50000,0.16752,0.14697
22.00000,156.00000,1141.56641,4.22258,17.01828,25.78280,21.51505,0.68065,0.03656,0.03441
23.00000,122.00000,1139.35366,4.44433,17.04136,29.78685,22.12937,0.50000,0.32025,0.10498
24.00000,132.00000,1137.19175,4.90607,16.57948,25.08960,18.46676,0.50000,0.45954,0.46676
25.00000,139.00000,1160.06622,4.42285,16.91246,22.33976,19.56380,0.69288,0.21068,0.04451
26.00000,85.00000,1128.07567,4.71817,16.58065,25.74194,21.10696,0.50000,0.33277,0.08149
27.00000,154.00000,1126.10495,3.78969,17.62062,21.34639,14.14021,0.50000,0.23505,0.21134
28.00000,300.00000,1147.57158,5.96467,15.51902,23.09783,16.68342,0.50068,0.19361,0.20788
29.00000,121.00000,1160.59320,7.01683,14.53366,28.67426,14.85941,0.74010,0.49010,0.00594
30.00000,128.00000,1178.25264,5.46816,16.03870,21.71536,24.26342,0.80087,0.29838,0.00000
31.00000,132.00000,1189.52618,4.07440,17.20580,26.24831,17.50918,0.50000,0.32174,0.22705
32.00000,89.00000,1161.84512,3.80120,17.44694,24.55007,21.57100,0.72720,0.03139,0.00598
33.00000,195.00000,1179.59086,4.39796,16.89403,21.35557,18.62716,0.67386,0.10989,0.02512
34.00000,200.00000,1177.13102,5.91564,15.52756,23.36558,22.61305,0.50000,0.83690,0.90101
35.00000,108.00000,1174.72179,3.88061,17.38889,25.66548,22.75650,0.59634,0.00709,0.00709
36.00000,300.00000,1202.05835,5.77902,15.70249,22.02752,17.35598,0.55503,0.31900,0.19261
37.00000,166.00000,1199.34123,4.51497,16.81796,24.14731,22.89341,0.91078,0.08503,0.01437
38.00000,114.00000,1237.22794,4.76228,16.78782,33.37132,18.92731,0.50000,0.23576,0.09136
39.00000,108.00000,1233.99406,3.78516,17.45286,24.39567,11.92272,0.72411,0.34158,0.31530
40.00000,189.00000,1242.25196,5.01973,16.36233,24.99372,18.89507,0.50000,0.37578,0.29058
41.00000,139.00000,1278.73686,4.21209,17.20361,29.13574,15.91729,0.50000,0.31071,0.25345
42.00000,98.00000,1285.35027,4.08318,17.15879,19.14556,24.17580,0.86106,0.10019,0.07183
43.00000,181.00000,1291.71820,6.03628,15.36372,31.99823,15.86283,0.50044,0.37345,0.11327
44.00000,195.00000,1272.30742,4.83142,16.60077,24.85670,13.39847,0.51724,0.39693,0.09962
45.00000,160.00000,1240.18054,6.33218,15.22984,27.53166,14.88725,0.60494,0.63140,0.10321
46.00000,298.00000,1251.60129,5.27265,16.18728,21.94512,21.56272,0.55967,0.20209,0.12979
47.00000,159.00000,1261.93671,5.47130,16.10876,26.10876,23.45720,0.88469,0.07150,0.00000
48.00000,131.00000,1258.44434,5.26585,16.30558,34.47746,14.26050,0.50000,0.22689,0.04354
49.00000,204.00000,1241.37269,4.68978,16.74400,26.98578,17.83822,0.55644,0.15733,0.01067
50.00000,226.00000,1248.91290,5.03624,16.46228,23.80621,16.13240,0.65865,0.23817,0.13388
51.00000,99.00000,1245.70131,4.23155,17.25181,31.11288,23.00000,0.50000,0.06946,0.04486
52.00000,216.00000,1266.53743,5.31410,16.04204,24.60016,16.15664,0.50907,0.28195,0.25639
53.00000,118.00000,1247.80945,6.87384,14.52988,21.50199,19.62550,0.74502,0.38645,0.15671
54.00000,145.00000,1254.98631,5.37425,16.12475,26.68410,14.02113,0.50000,0.43461,0.29678
55.00000,118.00000,1275.48093,4.64435,16.82636,32.11611,13.68724,0.50000,0.22176,0.12762
56.00000,188.00000,1281.72255,7.62599,14.01844,24.88323,18.20281,0.58077,0.42318,0.22212
57.00000,114.00000,1300.63332,5.55556,16.02488,28.02156,26.49917,0.51161,0.14760,0.12604
58.00000,189.00000,1308.18180,4.45409,16.93300,25.17039,13.05873,0.50000,0.36394,0.20678
59.00000,134.00000,1288.76535,4.80787,16.49306,22.98495,21.59375,0.68113,0.08333,0.00463
60.00000,137.00000,1296.39759,4.88731,16.34010,22.80102,23.91066,0.50000,0.43147,0.11168
61.00000,133.00000,1278.29601,5.19544,16.21925,26.74405,14.79861,0.73016,0.44444,0.15079
62.00000,85.00000,1284.29677,4.04007,17.32721,24.38230,19.27045,0.77546,0.16694,0.05008
63.00000,72.00000,1303.05613,3.74645,17.51724,25.46653,26.49696,0.50203,0.09736,0.00811
64.00000,300.00000,1284.83398,5.18103,16.28202,27.49692,20.22414,0.65486,0.39901,0.03571
65.00000,164.00000,1267.10875,5.12514,16.48837,30.80288,24.34994,0.56534,0.11628,0.01329
66.00000,161.00000,1250.36991,4.70669,16.66142,24.77854,19.25197,0.53789,0.20571,0.02756
67.00000,215.00000,1235.36787,4.38830,17.05547,27.25076,22.73784,0.61208,0.22568,0.25836
68.00000,135.00000,1244.41305,5.19178,16.42571,32.62065,23.16965,0.52845,0.19810,0.11380
69.00000,219.00000,1265.36429,5.94877,15.37002,21.19260,23.06072,0.65655,0.19734,0.06831
70.00000,300.00000,1249.81997,5.46195,16.03232,27.02694,13.66667,0.58552,0.26465,0.06667
71.00000,108.00000,1234.70851,3.93029,17.45845,29.91421,20.77614,0.51877,0.06836,0.07105
72.00000,300.00000,1221.49673,5.00896,16.39490,21.53480,12.57133,0.50379,0.07719,0.06478
73.00000,134.00000,1218.96138,4.62755,16.85714,24.19898,24.47449,0.66582,0.25638,0.15561
