# GameN, gameLength, gameElo, minBase, dinBase, meandistMine, meandistDine, isInFront, carryEnimy, carryAlly
1.00000,71.00000,1000.00000,0.10722,0.20788,180.90591,17.15974,0.52626,0.29103,0.15755
2.00000,118.00000,1000.00000,0.24068,0.29503,166.12267,16.30745,0.52019,0.39286,0.47050
3.00000,94.00000,998.16717,0.12730,0.13296,156.09901,21.93352,0.63932,0.16973,0.25601
4.00000,139.00000,996.52803,0.18317,0.21535,159.08787,13.33540,0.66460,0.29084,0.32178
5.00000,136.00000,1032.23667,0.18168,0.29129,170.52553,18.14565,0.61937,0.24024,0.29580
6.00000,113.00000,1086.96543,0.22153,0.29662,175.97997,22.23029,0.50876,0.43429,0.39299
7.00000,63.00000,1072.06614,0.17788,0.12740,182.26202,16.67788,0.50000,0.13942,0.37740
8.00000,154.00000,1058.65131,0.18675,0.19544,159.27687,18.76873,0.53909,0.27144,0.34419
9.00000,170.00000,1056.85057,0.11300,0.15867,163.81347,21.84211,0.53676,0.25387,0.20898
10.00000,155.00000,1055.11958,0.18911,0.17525,164.04257,17.00990,0.54950,0.23267,0.36535
11.00000,132.00000,1078.81301,0.12420,0.18259,172.67834,14.53715,0.52442,0.24628,0.21550
12.00000,126.00000,1100.14475,0.24006,0.24312,163.44495,18.83333,0.54281,0.21713,0.30581
13.00000,180.00000,1098.09535,0.18991,0.27470,173.65522,24.78066,0.51542,0.33357,0.36790
14.00000,137.00000,1096.10922,0.14824,0.20980,176.01131,18.26131,0.56281,0.36683,0.31658
15.00000,100.00000,1094.18089,0.26984,0.33598,173.98545,19.79762,0.50000,0.43651,0.31217
16.00000,115.00000,1092.30568,0.21040,0.28605,184.52600,26.37470,0.56619,0.36288,0.31442
17.00000,73.00000,1130.36927,0.24615,0.23462,192.61346,20.10000,0.59038,0.28077,0.38846
18.00000,136.00000,1165.78892,0.18919,0.22604,156.62899,16.86855,0.60934,0.15725,0.27027
19.00000,123.00000,1130.73686,0.23244,0.32567,169.74330,22.38825,0.62708,0.36526,0.42912
20.00000,138.00000,1146.07642,0.25546,0.22817,166.10262,24.41485,0.53221,0.30240,0.36572
21.00000,169.00000,1160.32633,0.11702,0.08221,149.17602,15.92456,0.59574,0.14120,0.18762
22.00000,33.00000,1145.52324,0.25382,0.14373,222.38532,17.88685,0.50000,0.12538,0.21101
23.00000,144.00000,1143.26201,0.22841,0.23409,176.45568,20.46818,0.52045,0.27841,0.32841
24.00000,116.00000,1120.57891,0.13477,0.17798,184.70679,25.47634,0.51595,0.26440,0.33745
25.00000,114.00000,1108.40065,0.17899,0.25000,173.27219,23.17308,0.61243,0.36834,0.37870
26.00000,158.00000,1134.57280,0.16904,0.28615,165.47963,20.00713,0.51731,0.33503,0.30754
27.00000,127.00000,1148.54344,0.29702,0.26200,177.48119,23.84176,0.50908,0.31647,0.38781
28.00000,100.00000,1135.27777,0.18900,0.26077,179.53589,22.97847,0.55562,0.40311,0.36962
29.00000,47.00000,1113.96437,0.22422,0.21973,211.04709,20.78924,0.50000,0.19507,0.15919
30.00000,105.00000,1128.68609,0.18885,0.25602,164.87072,23.80608,0.52408,0.31939,0.22814
31.00000,130.00000,1126.77822,0.13316,0.23968,176.38216,14.80826,0.58921,0.25832,0.27830
32.00000,69.00000,1140.56185,0.16402,0.25750,183.23810,25.88007,0.52205,0.20811,0.47795
33.00000,187.00000,1120.91617,0.18386,0.15212,152.70635,15.02249,0.55688,0.23677,0.39550
34.00000,154.00000,1151.37653,0.16989,0.26381,173.33978,19.06630,0.84669,0.21271,0.37569
35.00000,167.00000,1149.28248,0.09280,0.16258,150.07647,21.98664,0.54974,0.15664,0.20119
36.00000,167.00000,1188.34058,0.22697,0.28592,179.13117,27.08843,0.51326,0.39278,0.45689
37.00000,146.00000,1198.65769,0.17688,0.21106,160.85528,18.71055,0.58543,0.22814,0.32764
38.00000,154.00000,1224.34548,0.15519,0.19008,170.37190,21.55923,0.51837,0.22222,0.33333
39.00000,93.00000,1201.82148,0.18834,0.21674,172.13154,16.38117,0.53214,0.42900,0.38416
40.00000,116.00000,1186.98778,0.13178,0.15245,161.35788,16.41731,0.56718,0.20930,0.14470
41.00000,170.00000,1184.54772,0.21822,0.30034,164.68054,20.72441,0.56187,0.32058,0.38358
