# GameN, gameLength, gameElo, minBase, dinBase, meandistMine, meandistDine, isInFront, carryEnimy, carryAlly
1.00000,134.00000,1000.00000,3.66426,17.76414,25.08063,19.91456,0.56919,0.09386,0.03249
2.00000,131.00000,1000.00000,4.73985,16.68956,25.29400,15.11025,0.50000,0.28917,0.08607
3.00000,172.00000,998.16717,5.10313,16.46593,26.29834,17.82965,0.63444,0.16575,0.10958
4.00000,136.00000,1036.35937,3.92288,17.41340,24.00379,19.18837,0.66245,0.12516,0.08217
5.00000,134.00000,1034.46892,3.38068,18.00966,28.84058,13.88019,0.50000,0.12754,0.07440
6.00000,135.00000,1089.06944,3.40283,17.87516,28.33591,19.41956,0.73810,0.05405,0.00515
7.00000,82.00000,1113.00137,4.93291,16.27796,26.34505,17.73003,0.50000,0.38978,0.17412
8.00000,90.00000,1110.48358,4.28947,16.95706,34.23130,15.94598,0.50000,0.41274,0.14958
9.00000,159.00000,1131.06594,5.91646,15.70464,32.66667,19.27848,0.50000,0.33249,0.16793
10.00000,107.00000,1186.18911,4.06477,17.29542,26.38231,16.14376,0.65561,0.18957,0.07741
11.00000,228.00000,1200.53234,4.64050,16.90601,23.48256,20.46221,0.50000,0.58721,0.51357
12.00000,142.00000,1196.90762,6.12269,15.33333,25.41088,17.71991,0.50000,0.51273,0.28935
13.00000,189.00000,1209.99144,5.31385,15.98000,25.82538,18.34077,0.50000,0.35308,0.13000
14.00000,131.00000,1222.09954,5.06842,16.60000,29.04737,24.55658,0.50000,0.10395,0.10921
15.00000,245.00000,1233.35944,5.15864,16.47403,24.05760,23.30312,0.88102,0.22474,0.07743
16.00000,156.00000,1193.06267,4.93128,16.63436,30.40176,18.02203,0.50000,0.30132,0.05551
17.00000,300.00000,1225.11214,5.87476,15.72538,20.89628,14.32877,0.66993,0.19961,0.02479
18.00000,134.00000,1235.69376,5.31726,16.33520,27.14686,25.13789,0.62108,0.06390,0.02803
19.00000,191.00000,1231.82721,4.76918,16.75917,33.24683,19.05003,0.50000,0.17078,0.07872
20.00000,157.00000,1212.10290,5.03281,16.59163,29.61991,25.52376,0.63235,0.14480,0.10633
21.00000,124.00000,1241.20323,3.90698,17.57267,27.73547,18.61773,0.76163,0.06541,0.01599
22.00000,149.00000,1268.06663,4.23259,17.23967,23.24911,18.78749,0.50000,0.14994,0.07674
23.00000,101.00000,1263.70710,4.31605,17.27258,24.02676,23.79264,0.77926,0.05351,0.01672
24.00000,143.00000,1288.50880,3.93085,17.42042,22.52141,17.68057,0.58123,0.07903,0.01866
25.00000,226.00000,1283.76630,5.27739,16.33737,32.90715,18.67474,0.50000,0.08478,0.03460
26.00000,76.00000,1262.04863,4.70543,16.66150,20.63307,23.09302,0.50000,0.17313,0.34367
27.00000,130.00000,1270.07153,5.24631,16.42365,37.84335,18.07586,0.50000,0.34581,0.03547
28.00000,182.00000,1248.01039,4.96141,16.44417,31.51806,24.93350,0.58456,0.09934,0.03448
29.00000,99.00000,1256.42064,3.91525,17.60533,30.60533,16.94310,0.50000,0.18523,0.06416
30.00000,215.00000,1252.59241,7.21068,14.22655,26.91919,21.60606,0.68615,0.46465,0.22150
31.00000,191.00000,1276.25593,5.61660,15.90765,31.22108,21.18470,0.61940,0.42444,0.01959
32.00000,111.00000,1298.51252,3.90085,17.60943,29.00121,16.55502,0.50000,0.44619,0.34462
33.00000,107.00000,1275.55644,4.81021,16.72120,30.11911,22.73822,0.50000,0.08115,0.02487
34.00000,230.00000,1297.50976,6.36269,15.16580,27.62591,19.17617,0.68964,0.63938,0.35026
35.00000,206.00000,1276.32154,5.99928,15.60910,26.99061,16.25145,0.54552,0.17197,0.02168
36.00000,155.00000,1283.28181,6.52405,14.86217,31.94831,14.90811,0.65291,0.38119,0.03518
37.00000,264.00000,1304.30965,5.48135,16.05033,31.05506,19.23623,0.50000,0.28597,0.16400
38.00000,161.00000,1310.30347,7.89876,13.86839,27.32396,17.56805,0.55681,0.64229,0.16873
39.00000,267.00000,1316.08451,6.54390,15.12602,25.18211,16.31382,0.83008,0.61057,0.25447
40.00000,166.00000,1335.77719,4.65521,16.77494,17.56208,15.64523,0.79545,0.15743,0.10754
41.00000,138.00000,1353.26621,4.11816,17.15755,25.61269,16.19912,0.58862,0.19147,0.00000
42.00000,95.00000,1347.51662,3.99349,17.24078,22.87636,19.91540,0.50000,0.08460,0.05857
43.00000,134.00000,1341.96131,4.54733,16.65226,24.92593,16.11728,0.50000,0.25206,0.12757
44.00000,151.00000,1336.58848,4.75081,16.74323,31.91224,21.58397,0.65276,0.10726,0.03142
45.00000,159.00000,1356.61255,4.18505,17.05234,24.61869,17.82897,0.50467,0.29720,0.14299
46.00000,65.00000,1350.90213,3.20909,18.08182,29.54318,19.41364,0.50000,0.06591,0.06818
47.00000,140.00000,1366.97174,5.29459,16.20270,29.40270,20.35946,0.50000,0.19279,0.08919
48.00000,142.00000,1361.02997,6.18457,15.33887,29.93555,16.16797,0.50000,0.32715,0.17969
49.00000,113.00000,1376.39318,5.55789,15.75489,23.75338,17.18195,0.69173,0.51278,0.13835
50.00000,62.00000,1380.27796,2.54902,18.59664,20.75350,13.82073,0.50000,0.16246,0.24370
51.00000,148.00000,1411.64495,6.01221,15.41842,28.32963,24.85239,0.61432,0.45727,0.15760
52.00000,148.00000,1386.81933,5.78713,15.84106,35.37465,25.44087,0.66604,0.15989,0.01325
53.00000,91.00000,1363.18686,5.82876,15.41699,31.80523,18.64706,0.80196,0.38824,0.05490
54.00000,181.00000,1357.52619,5.83767,15.69878,26.65104,9.69878,0.70920,1.01649,0.29167
55.00000,162.00000,1372.62317,7.31744,14.34787,28.07911,16.57099,0.65669,0.39047,0.11055
56.00000,77.00000,1403.47222,3.41990,17.77427,24.52427,21.40534,0.50000,0.00728,0.00000
57.00000,160.00000,1417.81540,4.73612,16.70282,27.93083,17.47139,0.50000,0.30658,0.17763
58.00000,127.00000,1384.43404,5.09690,16.28533,24.80888,18.03230,0.87550,0.30821,0.04845
59.00000,167.00000,1398.95611,4.48868,16.86792,28.91981,19.79528,0.61887,0.05283,0.00377
60.00000,300.00000,1392.41367,6.07906,15.61581,24.02427,19.59015,0.58391,0.32108,0.25659
61.00000,107.00000,1369.48010,5.00403,16.50403,30.73387,19.10618,0.56788,0.09677,0.06989
62.00000,141.00000,1348.05936,5.92126,15.47244,24.90026,17.41995,0.82940,0.42388,0.28084
63.00000,146.00000,1363.11556,5.09953,16.36019,29.34005,21.44431,0.54976,0.10427,0.05332
64.00000,244.00000,1341.87171,6.20265,15.23607,24.99582,16.67270,0.51184,0.44777,0.10167
65.00000,90.00000,1337.00953,5.32338,16.18052,35.13636,18.94935,0.50000,0.47403,0.12468
66.00000,98.00000,1341.43473,4.07233,17.15190,25.28210,19.11392,0.50181,0.17541,0.14467
67.00000,172.00000,1357.96885,5.56135,15.85378,16.88548,19.04192,0.79857,0.27914,0.09714
68.00000,300.00000,1338.25043,5.41594,16.07391,20.94710,16.60290,0.53370,0.20580,0.10507
69.00000,231.00000,1333.54684,4.88264,16.56509,21.11243,21.65286,0.72535,0.22485,0.11538
70.00000,141.00000,1333.51293,5.14002,16.34289,24.86549,16.22822,0.52977,0.24476,0.14223
71.00000,206.00000,1314.25764,4.47915,16.77577,21.50747,13.30291,0.50000,0.28324,0.13533
72.00000,128.00000,1297.95622,5.72982,15.74737,25.81170,15.28538,0.50000,0.35439,0.24678
73.00000,167.00000,1317.63455,3.93797,17.51880,29.93327,17.33553,0.50000,0.13064,0.03289
74.00000,149.00000,1335.32537,5.41191,15.95261,18.77643,14.19806,0.50000,0.48846,0.16039
75.00000,105.00000,1350.88448,5.86915,15.81680,30.70523,27.95730,0.56198,0.20661,0.00000
76.00000,177.00000,1367.73677,4.75945,16.54787,22.76026,20.08930,0.50000,0.11022,0.05068
77.00000,116.00000,1348.10102,6.78986,14.71946,35.01242,19.38716,0.50000,0.36646,0.03209
78.00000,178.00000,1364.17268,4.07864,17.36796,24.68350,21.47767,0.50000,0.15631,0.27379
79.00000,109.00000,1379.40575,3.99266,17.37064,26.09908,22.59817,0.50000,0.24404,0.23853
80.00000,167.00000,1359.60623,5.15237,16.13239,29.33222,22.28060,0.61574,0.18651,0.12739
81.00000,163.00000,1340.77184,3.63301,17.53637,21.95657,17.24973,0.61672,0.08903,0.03149
82.00000,134.00000,1355.19699,5.92719,15.59613,27.75199,24.11035,0.55233,0.36519,0.05347
83.00000,194.00000,1335.46967,5.48562,15.97923,26.72045,21.90096,0.57827,0.19249,0.13339
84.00000,177.00000,1318.84534,6.00274,15.59744,27.22781,16.84355,0.50229,0.38243,0.02287
