# GameN, gameLength, gameElo, minBase, dinBase
1.0,214.0,1400.0,6.4,15.2
2.0,141.0,1400.0,6.6,14.7
3.0,107.0,1407.6,5.4,16.1
4.0,185.0,1414.3,6.5,15.0
5.0,161.0,1349.5,4.8,16.5
6.0,138.0,1357.4,7.1,14.6
7.0,205.0,1364.7,6.5,15.0
8.0,85.0,1371.4,5.8,15.7
9.0,261.0,1377.6,5.2,16.2
10.0,119.0,1383.5,4.1,17.1
11.0,126.0,1389.1,5.7,15.8
12.0,100.0,1394.4,6.6,14.8
13.0,162.0,1399.4,4.0,17.4
14.0,300.0,1404.2,5.9,15.6
15.0,120.0,1408.8,5.0,16.4
16.0,300.0,1413.2,6.5,15.0
17.0,139.0,1417.5,3.8,17.5
18.0,117.0,1421.6,6.7,14.9
19.0,177.0,1425.5,4.8,16.7
20.0,199.0,1429.3,7.0,14.5
21.0,99.0,1433.0,5.8,15.7
22.0,141.0,1436.6,5.3,16.1
23.0,103.0,1440.0,4.5,16.9
24.0,202.0,1417.0,6.0,15.5
25.0,300.0,1375.5,6.3,15.4
26.0,121.0,1403.2,5.0,16.4
27.0,267.0,1405.0,5.8,15.8
28.0,152.0,1384.7,7.3,14.1
29.0,108.0,1410.5,3.9,17.5
30.0,132.0,1432.9,5.7,15.8
31.0,91.0,1393.4,3.8,17.4
32.0,281.0,1372.8,5.0,16.5
33.0,247.0,1377.2,6.0,15.5
34.0,127.0,1400.8,4.9,16.8
35.0,85.0,1404.5,5.0,16.3
36.0,163.0,1408.2,4.4,17.0
37.0,111.0,1387.2,4.8,16.5
38.0,188.0,1391.2,5.2,16.2
39.0,154.0,1395.0,5.2,16.2
40.0,219.0,1416.5,5.8,15.9
41.0,71.0,1435.3,3.9,17.3
42.0,180.0,1412.5,4.6,16.9
43.0,156.0,1392.3,4.1,17.4
44.0,175.0,1412.9,6.0,15.7
45.0,136.0,1416.2,5.4,16.1
46.0,92.0,1419.5,4.5,16.9
47.0,260.0,1422.6,6.0,15.6
