# GameN, gameLength, gameElo, minBase, dinBase, meandistMine, meandistDine, isInFront, carryEnimy, carryAlly
1.00000,241.00000,1000.00000,3.10974,17.98715,27.63668,17.95156,0.24666,0.12506,0.06278
2.00000,210.00000,1000.00000,2.12730,18.91848,16.24456,7.90955,0.50000,0.67169,0.17755
3.00000,133.00000,1042.04482,1.53280,19.48562,10.06904,8.51554,0.09321,0.21864,0.27733
4.00000,185.00000,1103.57957,1.96820,19.08440,15.91927,13.70948,0.20122,0.13456,0.04709
5.00000,300.00000,1100.83064,1.83752,19.17894,13.08925,26.48397,0.51820,0.09749,0.11568
6.00000,127.00000,1124.82732,1.77901,19.22840,11.64691,10.81852,0.14074,0.05432,0.05432
7.00000,202.00000,1107.29527,2.07713,18.95501,16.28816,18.20621,0.26968,0.27424,0.02678
8.00000,300.00000,1104.85561,1.76057,19.24022,11.99644,17.22244,0.40142,0.20032,0.09996
9.00000,300.00000,1125.87610,1.83303,19.16881,11.92936,20.76468,0.56766,0.24450,0.10642
10.00000,264.00000,1167.69964,1.76946,19.23649,11.30788,15.19336,0.23748,0.24541,0.20476
11.00000,300.00000,1164.59146,1.90533,19.09851,14.19586,14.39747,0.25853,0.10080,0.09659
12.00000,188.00000,1179.93305,1.78792,19.24168,13.59864,18.15105,0.34063,0.06412,0.02528
13.00000,205.00000,1215.29663,1.90581,19.11450,13.87930,13.61196,0.24817,0.12070,0.13593
14.00000,166.00000,1264.19787,1.88235,19.11898,14.01939,15.78142,0.38937,0.17447,0.06885
15.00000,300.00000,1273.46912,2.03560,18.97603,15.43335,22.06938,0.50000,0.10861,0.05122
16.00000,300.00000,1300.35786,1.85850,19.15976,13.84899,12.55344,0.25789,0.17763,0.13655
17.00000,300.00000,1319.78027,1.94948,19.05349,12.72585,25.54198,0.41252,0.01040,0.00594
18.00000,255.00000,1326.52508,1.80407,19.20473,11.79857,12.84645,0.25234,0.11502,0.04733
19.00000,209.00000,1348.51721,1.80568,19.20012,12.06671,16.00116,0.21520,0.18445,0.15719
20.00000,221.00000,1389.60720,1.84547,19.16565,12.98166,15.86715,0.33241,0.10228,0.08949
21.00000,174.00000,1394.14562,1.88021,19.13151,14.31706,16.79688,0.43327,0.05990,0.03385
22.00000,300.00000,1410.93567,1.91225,19.09081,12.87371,2.00191,0.50000,0.00038,0.00000
23.00000,240.00000,1402.08023,1.77554,19.22937,11.18811,11.52996,0.07564,0.18418,0.13998
24.00000,300.00000,1402.66204,1.68671,19.31888,11.99254,20.38135,0.34522,0.03217,0.05734
