# GameN, gameLength, gameElo, minBase, dinBase, meandistMine, meandistDine, isInFront, carryEnimy, carryAlly
1.00000,91.00000,1000.00000,4.24258,17.24607,28.87609,15.51658,0.56283,0.07853,0.05061
2.00000,162.00000,1000.00000,4.74816,16.75061,28.32678,27.22482,0.65848,0.13514,0.02948
3.00000,155.00000,998.16717,4.96917,16.64162,28.13391,18.51060,0.47688,0.07225,0.04239
4.00000,160.00000,996.52803,3.97397,17.27983,20.66377,15.12256,0.51193,0.24403,0.01085
5.00000,191.00000,995.01666,5.54526,15.89684,21.10316,17.83684,0.56842,0.53263,0.36000
6.00000,129.00000,993.59941,4.77503,16.50585,26.08583,18.61638,0.77633,0.29909,0.08322
7.00000,142.00000,1026.13504,4.49496,16.91041,23.44009,13.87794,0.59351,0.19037,0.02688
8.00000,154.00000,1015.28698,6.35117,15.09630,24.12451,25.57685,0.80982,0.11089,0.03988
9.00000,101.00000,1005.32380,4.80595,16.70113,29.81445,22.30312,0.59844,0.02550,0.00283
10.00000,132.00000,996.10282,4.72105,16.58421,22.11974,23.03553,0.56974,0.10395,0.02237
11.00000,78.00000,994.90375,3.83491,17.63208,21.87264,16.38208,0.62618,0.11085,0.03538
12.00000,167.00000,993.74079,5.02953,16.30148,28.89977,16.44211,0.19503,0.23699,0.08780
13.00000,157.00000,992.61029,6.01731,15.31874,23.96232,16.68432,0.52444,0.61507,0.38391
14.00000,159.00000,1019.50229,5.81840,15.47406,23.90684,18.12736,0.30896,0.40448,0.30071
15.00000,265.00000,1062.36081,7.25116,14.16628,21.47558,16.62616,0.53430,0.40233,0.12616
16.00000,152.00000,1083.25559,5.54158,15.90405,22.50426,20.70256,0.75373,0.18124,0.02239
17.00000,88.00000,1102.37696,5.81855,15.43793,29.03138,14.71487,0.50000,0.45975,0.15962
18.00000,151.00000,1090.09337,4.71665,16.71114,29.26681,23.90077,0.76295,0.04631,0.00992
19.00000,183.00000,1108.21072,4.53342,16.94889,34.75360,14.73722,0.30603,0.20773,0.07995
20.00000,131.00000,1106.30038,4.64340,16.80584,23.04569,19.08629,0.37944,0.40102,0.32487
21.00000,300.00000,1122.92759,6.31168,15.20803,19.19124,16.61606,0.54964,0.60292,0.41971
22.00000,110.00000,1138.34889,5.86260,15.46674,27.04798,20.25518,0.45911,0.29444,0.08397
23.00000,105.00000,1124.95125,3.94005,17.42219,31.54082,19.62117,0.55931,0.08036,0.03189
24.00000,197.00000,1139.90839,4.31808,17.13362,30.50835,23.47567,0.68954,0.07988,0.01888
25.00000,172.00000,1137.76284,4.48544,16.98835,24.37087,21.55437,0.59709,0.27670,0.15049
26.00000,128.00000,1135.66392,3.80676,17.50158,26.27033,23.08025,0.44192,0.24182,0.09715
27.00000,167.00000,1133.60929,5.59932,15.81150,28.61538,18.96027,0.36264,0.21640,0.06424
28.00000,76.00000,1147.50133,3.13654,18.23269,21.70577,18.94615,0.75481,0.02692,0.01923
29.00000,102.00000,1177.88276,6.24682,15.11943,18.75796,23.14968,0.69586,0.11943,0.05732
30.00000,115.00000,1175.36556,4.49778,16.94000,33.05111,15.10556,0.50000,0.34556,0.10000
31.00000,150.00000,1161.01217,4.40256,17.01704,24.04473,19.44409,0.56390,0.11076,0.07774
32.00000,146.00000,1173.02949,4.03083,17.45665,26.78613,15.57129,0.50963,0.25048,0.06166
33.00000,154.00000,1201.07650,6.68949,14.81369,27.04379,13.68392,0.78185,0.46417,0.05892
34.00000,179.00000,1198.31424,5.02277,16.54727,30.79365,18.61629,0.37578,0.24293,0.09041
35.00000,120.00000,1224.56983,4.27624,17.12155,22.72790,20.31215,0.40331,0.44061,0.18370
36.00000,214.00000,1233.42530,4.39951,16.96977,24.54003,23.24918,0.42484,0.11683,0.09069
37.00000,207.00000,1241.87202,3.93689,17.49867,21.51022,18.22489,0.50267,0.08089,0.04533
38.00000,131.00000,1249.94218,4.14951,17.14735,23.77465,19.32394,0.77356,0.13651,0.00108
39.00000,227.00000,1272.60697,5.30206,16.10526,25.71701,18.65065,0.33410,0.39054,0.17620
40.00000,197.00000,1253.81561,5.38864,16.04036,27.71076,17.69432,0.56913,0.10762,0.01420
41.00000,232.00000,1275.97315,4.95433,16.52902,17.79829,19.42816,0.34681,0.24643,0.25880
