# GameN, gameLength, gameElo, minBase, dinBase, meandistMine, meandistDine, isInFront, carryEnimy, carryAlly
1.00000,142.00000,1000.00000,4.62156,16.84862,25.68807,19.21216,0.57397,0.25115,0.21101
2.00000,153.00000,1000.00000,4.65616,16.72015,20.60076,18.67240,0.50000,0.42502,0.20057
3.00000,97.00000,1042.04482,4.52801,16.93697,27.06022,18.50140,0.50000,0.22689,0.14286
4.00000,234.00000,1075.46135,5.91338,15.54974,23.00000,21.37479,0.83791,0.10720,0.01973
5.00000,119.00000,1130.50573,4.78872,16.40155,23.44137,21.33518,0.50000,0.26217,0.09181
6.00000,213.00000,1111.71765,4.86279,16.42292,26.43503,15.10008,0.73729,0.30347,0.02341
7.00000,205.00000,1133.73221,4.87219,16.73714,31.00884,19.93810,0.68931,0.09807,0.01768
8.00000,117.00000,1177.70710,4.39527,16.98311,25.12838,19.32939,0.65034,0.24493,0.11486
9.00000,92.00000,1157.55404,3.95413,17.43853,24.35596,16.71376,0.83119,0.13761,0.00000
10.00000,101.00000,1154.53447,4.95728,16.47797,30.26702,20.41789,0.50000,0.24166,0.10147
11.00000,190.00000,1137.11785,6.20996,15.18861,21.48754,21.44840,0.59253,0.45789,0.01898
12.00000,134.00000,1189.45990,4.16312,17.32861,24.23286,21.70213,0.63889,0.02482,0.00473
13.00000,107.00000,1186.11857,5.36023,16.12398,30.13450,16.59532,0.66140,0.27368,0.10292
14.00000,160.00000,1182.90202,4.37693,17.12358,24.59629,21.39959,0.52626,0.19361,0.05664
15.00000,97.00000,1231.49627,6.10132,15.41850,27.91483,14.98091,0.50000,0.47871,0.28781
16.00000,131.00000,1227.53850,4.79476,16.87958,24.53403,23.45340,0.72723,0.18115,0.08377
17.00000,85.00000,1238.16437,3.88393,17.46726,34.10417,17.72173,0.55952,0.18750,0.11310
18.00000,190.00000,1266.69529,6.69695,14.94740,32.20801,12.90018,0.50000,0.43694,0.05021
19.00000,112.00000,1310.69331,4.16582,17.09707,32.93428,21.93225,0.50000,0.20526,0.08595
20.00000,210.00000,1317.55496,6.01966,15.56627,27.04946,17.98415,0.61351,0.42739,0.13887
21.00000,150.00000,1324.10316,3.38901,17.97422,24.42825,18.32399,0.50000,0.12892,0.03700
22.00000,158.00000,1364.93873,4.62944,16.84602,31.73689,17.88325,0.65440,0.28596,0.16920
23.00000,101.00000,1369.97274,5.07948,16.25504,26.47924,19.54686,0.50000,0.40214,0.11032
24.00000,107.00000,1387.87493,4.79794,16.68289,30.26106,25.62242,0.60841,0.18142,0.23304
25.00000,107.00000,1392.25037,5.05618,16.57753,28.60674,12.74944,0.50000,0.34719,0.10787
26.00000,112.00000,1384.39448,4.10967,17.26297,28.86085,15.73113,0.50000,0.15802,0.05660
27.00000,227.00000,1388.76147,5.22155,16.24734,25.17299,20.59408,0.86267,0.18892,0.02807
28.00000,135.00000,1425.05117,5.40486,16.16513,37.72842,15.89522,0.50000,0.26907,0.02347
29.00000,178.00000,1395.47123,5.74179,15.58862,29.40481,24.64880,0.64825,0.18381,0.07877
30.00000,172.00000,1399.48256,4.01992,17.36680,27.54440,20.07884,0.50000,0.20498,0.17178
31.00000,120.00000,1371.81065,4.14251,17.36609,33.20393,16.01106,0.50000,0.21007,0.10319
32.00000,118.00000,1376.27070,5.37318,16.21518,30.36486,19.38981,0.50000,0.33680,0.14969
33.00000,177.00000,1369.42842,4.45935,16.96365,27.34567,15.12690,0.50000,0.25248,0.12161
34.00000,83.00000,1373.87347,3.76316,17.73308,26.09398,18.09962,0.50000,0.06203,0.05639
35.00000,181.00000,1378.18562,6.05013,15.48622,17.57393,22.95113,0.60464,0.48622,0.15915
36.00000,108.00000,1371.43294,4.63232,16.96956,26.25878,15.06440,0.50000,0.09251,0.02342
37.00000,187.00000,1364.94266,7.49858,14.15909,34.50284,21.10440,0.57990,0.20526,0.00781
38.00000,123.00000,1381.11934,4.48747,16.84966,22.75854,15.36219,0.50000,0.31663,0.21185
39.00000,113.00000,1396.29818,4.76501,16.71109,36.86368,18.81078,0.50000,0.29400,0.08545
40.00000,124.00000,1400.00709,5.34440,16.34440,32.61747,26.64576,0.63592,0.05289,0.01722
41.00000,162.00000,1432.52480,5.65282,15.79702,27.64420,14.28056,0.50588,0.46552,0.12539
42.00000,108.00000,1424.15513,4.25860,17.11004,31.85557,30.85420,0.59629,0.00000,0.00000
43.00000,300.00000,1427.29971,6.07026,15.38407,15.73302,14.15105,0.59660,0.64286,0.85714
44.00000,300.00000,1419.22349,5.14993,16.24381,24.01043,14.21186,0.50000,0.05737,0.04042
45.00000,147.00000,1450.31289,6.70201,14.50335,27.05469,18.11719,0.50000,0.18192,0.04464
46.00000,254.00000,1480.06606,6.86580,14.65327,25.50817,21.94891,0.83583,0.37534,0.04155
47.00000,145.00000,1489.85509,6.21763,15.18498,23.18716,18.05767,0.54461,0.43634,0.19369
48.00000,200.00000,1499.18852,6.31876,15.13217,21.51701,18.93197,0.50486,0.52672,0.39456
49.00000,193.00000,1501.22018,4.69298,16.76322,28.25809,15.42384,0.50000,0.26993,0.18863
50.00000,203.00000,1503.21913,5.38351,16.26932,32.55190,15.59977,0.52624,0.29296,0.09112
51.00000,217.00000,1505.18645,6.63905,14.75148,22.16075,24.76036,0.64842,0.25148,0.07692
52.00000,115.00000,1507.12314,4.80827,16.81579,33.42732,23.49875,0.63659,0.11153,0.05514
53.00000,178.00000,1515.55756,5.35522,16.05845,25.87140,17.95414,0.50000,0.15827,0.13129
54.00000,118.00000,1504.35232,3.08412,17.99159,18.66036,15.08202,0.50000,0.15668,0.05573
55.00000,92.00000,1522.94412,4.50817,16.84804,27.71242,20.95588,0.76797,0.12908,0.05229
