# GameN, gameLength, gameElo, minBase, dinBase, meandistMine, meandistDine, isInFront, carryEnimy, carryAlly
1.00000,275.00000,1000.00000,4.03505,17.27220,22.63785,13.93692,0.14544,0.09463,0.11332
2.00000,45.00000,1000.00000,5.23579,15.78526,36.84000,14.62737,0.50000,0.25263,0.00421
3.00000,100.00000,957.95518,8.19604,12.82914,18.22842,18.82554,0.81115,0.10791,0.00540
4.00000,176.00000,1032.63250,2.05246,18.95182,13.39293,7.62420,0.81103,0.45717,0.31906
5.00000,150.00000,1019.76647,7.00536,13.99617,14.77931,19.37088,0.65977,0.15709,0.00460
6.00000,187.00000,1018.13750,4.89957,16.10894,11.35915,17.67234,0.66681,0.11319,0.03489
7.00000,187.00000,1071.17864,5.48027,15.70334,26.11608,27.22458,0.70941,0.02352,0.01290
8.00000,103.00000,1069.18207,4.29975,16.77641,30.04177,19.59951,0.29975,0.20762,0.16708
9.00000,224.00000,1115.83564,2.19457,18.81611,17.75934,16.53081,0.26274,0.32023,0.11451
10.00000,254.00000,1158.31666,2.16400,18.84338,17.88069,19.61460,0.34604,0.10742,0.02460
11.00000,273.00000,1174.44039,2.09807,18.90820,16.10658,19.77161,0.26086,0.07389,0.01343
12.00000,268.00000,1226.20225,1.88055,19.12422,13.31056,23.29384,0.35595,0.06211,0.07119
13.00000,241.00000,1222.13350,1.51808,19.48887,9.16134,7.52782,0.33310,0.36439,0.23505
14.00000,300.00000,1270.89489,1.97406,19.04323,15.13496,17.63722,0.14944,0.10602,0.07444
15.00000,300.00000,1317.63871,2.00417,18.99734,15.03567,16.61708,0.38216,0.06755,0.03757
16.00000,281.00000,1362.26302,1.67126,19.34358,11.14740,15.53075,0.62142,0.50477,0.00424
17.00000,300.00000,1382.39673,2.12300,18.89633,17.17433,25.64167,0.50000,0.00000,0.00000
18.00000,204.00000,1387.30369,1.68363,19.32562,12.97918,14.07981,0.18971,0.05147,0.06362
19.00000,300.00000,1403.24832,1.97709,19.03600,15.49091,18.51673,0.38273,0.05382,0.03564
