# GameN, gameLength, gameElo, minBase, dinBase, meandistMine, meandistDine, isInFront, carryEnimy, carryAlly
1.00000,120.00000,1000.00000,4.63051,16.99881,32.97139,27.99881,0.73361,0.04648,0.01430
2.00000,126.00000,1000.00000,4.50069,16.73655,20.40138,16.43310,0.61379,0.13379,0.00000
3.00000,166.00000,998.16717,5.14613,16.45365,23.98582,23.84515,0.54362,0.13631,0.07634
4.00000,111.00000,996.52803,4.52632,16.79934,26.73191,20.58059,0.50000,0.09046,0.07401
5.00000,83.00000,985.70693,4.14827,17.17792,26.44975,14.48435,0.57414,0.29984,0.03460
6.00000,259.00000,984.36215,6.96218,14.74909,27.52945,19.18400,0.47309,0.25091,0.08218
7.00000,156.00000,1039.04449,5.46711,16.03509,27.97697,25.69298,0.50439,0.19079,0.10526
8.00000,147.00000,1027.51649,5.90052,15.55130,26.77617,20.69223,0.63523,0.18342,0.07254
9.00000,76.00000,995.43663,5.20580,16.21961,36.71685,12.22376,0.50000,0.37845,0.01105
10.00000,300.00000,1044.38318,5.09844,16.48051,26.15205,20.81287,0.56969,0.37817,0.10331
11.00000,111.00000,1068.92784,5.49144,15.81686,30.03689,24.73781,0.84980,0.14493,0.01186
12.00000,254.00000,1091.00641,5.66182,15.89818,20.64273,15.62909,0.36091,0.16000,0.07636
13.00000,99.00000,1089.05822,4.99885,16.21544,31.95161,17.29493,0.50000,0.38710,0.07143
14.00000,120.00000,1087.16916,4.91751,16.35819,28.93898,24.31525,0.53220,0.03842,0.01017
15.00000,118.00000,1106.66531,3.28817,18.03100,26.83697,14.49828,0.25258,0.28129,0.17451
16.00000,89.00000,1093.75500,4.65926,16.60247,32.33704,17.52222,0.50000,0.20988,0.02222
17.00000,182.00000,1112.16790,5.33669,16.22754,20.85642,20.34677,0.55709,0.26196,0.12846
18.00000,135.00000,1148.60529,5.15830,16.22222,16.17352,21.45662,0.90183,0.12481,0.03044
19.00000,132.00000,1182.46994,4.23498,17.27032,21.67491,18.92403,0.79064,0.80035,0.57951
20.00000,114.00000,1165.94044,5.77172,15.55758,29.33838,11.01818,0.50000,0.44747,0.11212
21.00000,136.00000,1197.91001,3.42179,18.17784,28.53166,10.04655,0.05121,0.29330,0.11359
22.00000,224.00000,1209.23605,5.68081,15.80645,22.44143,17.63922,0.48472,0.14516,0.07725
23.00000,106.00000,1219.88752,4.12716,17.15542,27.14914,24.12716,0.72292,0.05181,0.00157
24.00000,284.00000,1201.83850,5.10995,16.32665,19.68941,14.91011,0.37640,0.16613,0.19823
25.00000,97.00000,1198.83506,5.14710,16.20970,34.34742,24.28638,0.52426,0.24100,0.19249
26.00000,179.00000,1195.90975,3.47178,17.93228,17.76637,13.93228,0.42889,0.18736,0.12867
27.00000,184.00000,1179.84355,7.29189,14.25135,28.04865,16.76892,0.64865,0.21757,0.03311
28.00000,152.00000,1177.25361,4.51009,17.02385,29.09358,21.77706,0.34495,0.17615,0.06789
29.00000,119.00000,1206.01700,4.83562,16.84932,24.98904,23.46575,0.86027,0.04795,0.01507
30.00000,46.00000,1216.10010,2.85128,18.49744,34.96923,11.89744,0.50000,0.35385,0.00000
31.00000,300.00000,1199.43320,4.44585,16.91462,17.46719,17.61265,0.68656,0.19209,0.08538
32.00000,116.00000,1239.03198,3.62443,17.86425,26.90799,20.39216,0.60332,0.07843,0.01056
33.00000,197.00000,1256.64616,4.80654,16.51862,22.68120,24.52679,0.66803,0.08992,0.03633
34.00000,184.00000,1252.93523,5.04163,16.49873,25.20901,21.68734,0.18649,0.20136,0.13339
35.00000,123.00000,1234.65094,3.54534,17.85104,28.49093,16.86788,0.26684,0.09067,0.04275
36.00000,170.00000,1243.10986,5.31034,16.07946,33.22264,13.92504,0.10457,0.28861,0.11919
37.00000,167.00000,1225.65232,4.68992,16.85659,27.71802,21.24419,0.66667,0.17539,0.04554
38.00000,112.00000,1234.34299,5.70292,15.77661,28.07719,17.99766,0.21871,0.34035,0.11696
39.00000,118.00000,1231.15816,3.59948,17.67277,26.56675,24.19634,0.56152,0.07068,0.00000
40.00000,271.00000,1239.52356,5.41238,16.13930,28.98452,23.58485,0.66971,0.16860,0.07684
41.00000,179.00000,1236.29187,5.49673,16.17320,34.62173,19.98938,0.66217,0.12092,0.01961
42.00000,171.00000,1259.29013,4.37450,17.11546,21.56024,16.40361,0.73343,0.38956,0.16867
43.00000,240.00000,1241.59163,4.47701,16.97126,28.04693,16.84962,0.42768,0.12548,0.07184
44.00000,117.00000,1277.43402,4.25515,17.18542,21.72108,16.17591,0.82884,0.07132,0.00000
45.00000,115.00000,1273.58514,4.10336,17.28322,23.68993,20.22953,0.69329,0.16107,0.00134
46.00000,127.00000,1269.83353,4.99269,16.65773,30.93788,30.70037,0.72229,0.02558,0.00000
47.00000,109.00000,1266.17460,3.86692,17.54119,28.60583,17.21420,0.50000,0.02535,0.07858
48.00000,174.00000,1248.59147,6.08604,15.46181,22.10009,20.24759,0.47278,0.16945,0.07550
49.00000,181.00000,1232.05133,5.19481,16.37561,29.04135,17.40505,0.33952,0.33217,0.12824
50.00000,127.00000,1254.27124,3.75449,17.67665,18.44511,19.56886,0.50000,0.08383,0.07585
51.00000,177.00000,1261.33748,4.08613,17.36718,26.78876,23.55122,0.67316,0.11061,0.00997
