# GameN, gameLength, gameElo, minBase, dinBase, meandistMine, meandistDine, isInFront, carryEnimy, carryAlly
1.00000,74.00000,1000.00000,8.81272,13.39929,35.52120,34.56360,0.57067,0.02120,0.01590
2.00000,194.00000,1000.00000,11.44038,10.23713,17.60434,11.97696,0.50068,1.20325,0.69377
3.00000,115.00000,998.16717,10.46714,11.85424,27.33572,18.81959,0.88650,0.54122,0.14456
4.00000,58.00000,960.37580,6.65981,15.30467,29.59065,15.92523,0.50000,0.38505,0.08411
5.00000,300.00000,999.74594,13.22958,8.53993,15.75227,13.87750,0.50000,1.53539,1.27768
6.00000,119.00000,1065.16446,7.29883,14.77697,29.81633,23.63994,0.62901,0.31341,0.15743
7.00000,227.00000,1059.24179,11.86439,9.70165,22.15566,28.75590,0.76120,0.47052,0.45519
8.00000,79.00000,1057.37378,8.39463,13.64639,32.17963,26.00424,0.50000,0.17539,0.06506
9.00000,119.00000,1022.77825,8.07143,14.25840,25.76366,18.37395,0.50998,0.26996,0.06408
10.00000,145.00000,1070.48693,10.11743,11.99817,25.65780,17.27431,0.44128,0.35413,0.09358
11.00000,117.00000,1068.66771,7.01085,15.57123,31.91588,21.41927,0.39688,0.36635,0.26594
12.00000,158.00000,1056.86844,8.86296,13.50741,25.72130,21.06852,0.33935,0.46574,0.32870
13.00000,222.00000,1055.25741,7.87249,14.90159,21.96050,23.57450,0.16632,0.38808,0.55925
14.00000,98.00000,1077.43644,5.94787,16.51896,30.07701,25.63270,0.50000,0.23223,0.10664
15.00000,189.00000,1097.61749,6.05730,16.45903,30.90540,27.92139,0.42205,0.29913,0.20520
16.00000,165.00000,1146.51950,6.63586,16.06614,28.00000,26.84861,0.31713,0.17610,0.12191
17.00000,125.00000,1181.52251,6.78404,16.01174,26.37911,18.78873,0.59859,0.43779,0.29108
18.00000,175.00000,1178.58846,7.28804,15.24819,31.57246,28.10326,0.44339,0.35960,0.33152
