# GameN, gameLength, gameElo, minBase, dinBase
1.0,229.0,1000.0,3.3,18.2
2.0,261.0,1000.0,4.9,16.8
3.0,163.0,998.2,2.2,18.8
4.0,300.0,1062.4,2.0,19.0
5.0,234.0,1091.5,1.9,19.2
6.0,300.0,1155.9,1.8,19.3
7.0,221.0,1216.5,1.8,19.2
8.0,300.0,1254.0,1.8,19.2
9.0,273.0,1265.2,1.9,19.2
10.0,300.0,1275.5,2.1,19.0
11.0,290.0,1305.1,2.0,19.1
12.0,238.0,1331.6,1.7,19.4
13.0,300.0,1355.6,2.1,19.0
14.0,213.0,1361.6,1.8,19.3
15.0,300.0,1379.6,1.9,19.2
16.0,300.0,1384.8,1.9,19.2
17.0,300.0,1426.3,1.5,19.6
18.0,300.0,1465.4,2.0,19.1
19.0,300.0,1478.6,1.7,19.4
20.0,300.0,1490.9,1.7,19.4
21.0,300.0,1502.4,1.6,19.5
22.0,296.0,1504.8,1.2,19.9
23.0,196.0,1537.6,1.0,20.0
24.0,300.0,1539.6,1.4,19.7
25.0,300.0,1541.5,1.0,20.0
26.0,300.0,1505.5,0.9,20.2
27.0,181.0,1507.8,1.1,19.9
28.0,300.0,1517.7,1.7,19.4
29.0,265.0,1547.9,1.5,19.6
30.0,172.0,1556.0,1.7,19.4
31.0,300.0,1557.7,1.6,19.4
32.0,187.0,1585.0,1.2,19.8
33.0,300.0,1565.3,1.1,20.0
34.0,300.0,1550.1,1.3,19.7
35.0,244.0,1551.8,0.9,20.1
36.0,300.0,1553.4,0.9,20.1
37.0,300.0,1555.0,1.5,19.5
38.0,243.0,1556.6,1.7,19.4
39.0,300.0,1563.9,1.9,19.2
40.0,300.0,1565.4,1.3,19.7
41.0,300.0,1572.3,1.8,19.3
42.0,238.0,1573.7,1.5,19.6
43.0,300.0,1580.2,1.6,19.5
44.0,210.0,1604.2,1.7,19.4
45.0,287.0,1605.4,1.5,19.6
46.0,300.0,1606.5,1.6,19.4
47.0,249.0,1607.6,1.9,19.2
48.0,277.0,1608.8,1.7,19.4
49.0,175.0,1609.9,1.6,19.4
50.0,273.0,1615.1,1.7,19.4
51.0,255.0,1616.2,1.8,19.3
52.0,300.0,1617.3,1.9,19.2
53.0,280.0,1601.0,1.7,19.4
54.0,202.0,1602.1,1.6,19.5
55.0,252.0,1607.4,1.5,19.5
56.0,139.0,1612.6,1.4,19.7
57.0,136.0,1633.4,1.7,19.5
58.0,136.0,1616.6,1.5,19.6
59.0,131.0,1617.7,1.7,19.4
60.0,265.0,1622.5,1.8,19.2
61.0,300.0,1642.4,1.6,19.5
62.0,189.0,1646.7,1.1,19.9
63.0,300.0,1665.2,1.3,19.7
64.0,212.0,1647.2,1.8,19.3
65.0,300.0,1630.4,1.6,19.5
66.0,152.0,1631.3,1.6,19.4
67.0,208.0,1635.7,1.7,19.4
68.0,146.0,1605.0,1.6,19.5
69.0,260.0,1606.1,1.5,19.6
70.0,300.0,1626.1,1.5,19.6
71.0,257.0,1627.1,1.5,19.5
72.0,243.0,1628.0,1.3,19.7
73.0,203.0,1646.7,1.1,19.9
74.0,193.0,1650.7,1.3,19.8
75.0,188.0,1654.6,1.5,19.6
76.0,157.0,1671.9,1.5,19.6
77.0,257.0,1654.4,1.4,19.7
78.0,222.0,1671.6,1.3,19.8
79.0,245.0,1672.3,1.3,19.7
80.0,283.0,1688.5,1.5,19.6
81.0,272.0,1670.5,1.4,19.7
82.0,300.0,1671.1,1.4,19.6
83.0,184.0,1687.3,1.1,20.0
84.0,196.0,1687.9,1.7,19.4
85.0,295.0,1703.1,1.6,19.4
86.0,118.0,1703.7,1.0,20.1
87.0,219.0,1718.1,1.1,20.0
88.0,236.0,1699.0,1.4,19.7
89.0,300.0,1713.6,1.4,19.7
90.0,223.0,1714.1,1.0,20.0
91.0,161.0,1716.8,0.8,20.2
92.0,173.0,1717.3,1.2,19.9
93.0,134.0,1687.6,0.8,20.3
94.0,234.0,1688.2,1.1,20.0
95.0,149.0,1691.2,1.1,19.9
