# GameN, gameLength, gameElo, minBase, dinBase
1.0,153.0,1400.0,0.1,0.1
2.0,184.0,1400.0,0.2,0.2
3.0,122.0,1407.6,0.2,0.3
4.0,118.0,1414.3,0.1,0.2
5.0,122.0,1349.5,0.2,0.2
6.0,123.0,1290.5,0.2,0.3
7.0,122.0,1300.6,0.2,0.2
8.0,120.0,1309.9,0.2,0.3
9.0,111.0,1318.5,0.1,0.1
10.0,52.0,1326.4,0.2,0.2
11.0,142.0,1333.9,0.1,0.1
12.0,88.0,1340.9,0.3,0.3
13.0,80.0,1347.5,0.2,0.2
14.0,120.0,1301.1,0.1,0.2
15.0,133.0,1257.2,0.3,0.3
16.0,68.0,1266.6,0.2,0.2
17.0,178.0,1225.5,0.2,0.2
18.0,116.0,1236.0,0.2,0.2
19.0,103.0,1197.4,0.2,0.2
20.0,104.0,1209.0,0.2,0.1
21.0,175.0,1220.0,0.2,0.2
22.0,86.0,1230.2,0.3,0.2
23.0,106.0,1239.9,0.2,0.2
24.0,108.0,1249.1,0.2,0.3
25.0,170.0,1257.8,0.1,0.2
26.0,110.0,1266.1,0.2,0.2
27.0,95.0,1285.9,0.2,0.2
28.0,66.0,1249.1,0.2,0.2
29.0,75.0,1257.5,0.3,0.3
30.0,110.0,1265.5,0.2,0.2
31.0,149.0,1240.8,0.1,0.2
32.0,106.0,1261.6,0.1,0.2
33.0,146.0,1269.2,0.2,0.2
34.0,110.0,1286.8,0.1,0.1
35.0,135.0,1260.9,0.2,0.2
36.0,132.0,1279.2,0.1,0.2
37.0,176.0,1295.2,0.2,0.3
38.0,44.0,1309.5,0.1,0.1
39.0,104.0,1315.3,0.2,0.4
40.0,106.0,1327.6,0.2,0.2
41.0,123.0,1338.6,0.2,0.2
42.0,89.0,1348.6,0.1,0.2
43.0,107.0,1357.7,0.2,0.2
44.0,189.0,1362.2,0.2,0.2
45.0,173.0,1366.4,0.2,0.2
46.0,97.0,1384.8,0.2,0.2
47.0,115.0,1392.0,0.1,0.2
48.0,88.0,1395.6,0.2,0.2
49.0,145.0,1402.2,0.1,0.1
50.0,254.0,1405.6,0.1,0.2
51.0,140.0,1408.9,0.1,0.1
52.0,96.0,1404.8,0.2,0.3
53.0,176.0,1408.1,0.1,0.2
54.0,159.0,1411.3,0.2,0.2
55.0,119.0,1414.5,0.1,0.1
56.0,97.0,1391.9,0.1,0.2
57.0,138.0,1408.4,0.2,0.2
58.0,156.0,1423.1,0.1,0.1
59.0,155.0,1428.4,0.1,0.2
60.0,105.0,1431.2,0.2,0.2
61.0,140.0,1436.2,0.1,0.2
62.0,204.0,1438.9,0.2,0.2
63.0,94.0,1443.5,0.3,0.3
64.0,103.0,1447.8,0.1,0.2
65.0,123.0,1450.3,0.2,0.2
66.0,163.0,1419.2,0.2,0.2
67.0,69.0,1437.8,0.2,0.5
68.0,116.0,1405.4,0.2,0.2
69.0,130.0,1388.7,0.1,0.2
70.0,130.0,1403.0,0.3,0.2
71.0,132.0,1406.1,0.2,0.2
72.0,109.0,1390.4,0.1,0.1
73.0,77.0,1410.6,0.2,0.2
74.0,110.0,1423.0,0.1,0.3
75.0,97.0,1425.7,0.2,0.2
76.0,234.0,1428.4,0.1,0.2
77.0,108.0,1397.2,0.2,0.3
78.0,121.0,1403.1,0.2,0.2
79.0,111.0,1421.4,0.1,0.3
80.0,111.0,1432.5,0.2,0.2
81.0,145.0,1448.3,0.1,0.2
82.0,167.0,1452.8,0.2,0.2
83.0,202.0,1466.8,0.2,0.3
84.0,106.0,1442.4,0.1,0.1
85.0,87.0,1423.2,0.1,0.1
86.0,209.0,1438.7,0.2,0.2
87.0,198.0,1455.8,0.1,0.2
88.0,222.0,1427.2,0.1,0.2
89.0,142.0,1441.7,0.2,0.2
90.0,154.0,1425.1,0.2,0.2
91.0,170.0,1403.8,0.1,0.2
92.0,99.0,1409.8,0.2,0.2
93.0,77.0,1424.3,0.2,0.3
94.0,155.0,1437.4,0.1,0.2
95.0,136.0,1410.2,0.2,0.2
96.0,95.0,1416.6,0.2,0.2
97.0,84.0,1397.5,0.2,0.2
98.0,216.0,1404.0,0.1,0.2
99.0,252.0,1384.9,0.1,0.1
100.0,178.0,1368.2,0.2,0.2
101.0,150.0,1387.8,0.2,0.2
102.0,135.0,1374.0,0.1,0.3
103.0,118.0,1377.3,0.1,0.2
104.0,141.0,1361.4,0.2,0.2
105.0,97.0,1347.1,0.2,0.2
106.0,64.0,1364.2,0.2,0.2
107.0,106.0,1348.2,0.2,0.2
108.0,87.0,1364.4,0.3,0.3
109.0,38.0,1367.8,0.3,0.2
110.0,54.0,1371.2,0.2,0.2
111.0,142.0,1385.6,0.2,0.2
112.0,164.0,1388.6,0.2,0.3
113.0,216.0,1373.9,0.1,0.2
114.0,97.0,1377.1,0.2,0.2
115.0,118.0,1395.4,0.2,0.2
116.0,132.0,1409.6,0.2,0.2
117.0,125.0,1391.9,0.2,0.3
118.0,107.0,1408.3,0.1,0.2
119.0,72.0,1390.0,0.2,0.2
120.0,112.0,1403.5,0.2,0.2
121.0,106.0,1418.5,0.1,0.2
122.0,114.0,1421.0,0.1,0.2
123.0,97.0,1423.5,0.1,0.3
124.0,107.0,1425.9,0.2,0.2
125.0,77.0,1408.6,0.1,0.2
126.0,120.0,1414.3,0.1,0.1
127.0,70.0,1429.5,0.2,0.1
128.0,77.0,1443.4,0.2,0.2
129.0,111.0,1456.0,0.2,0.2
130.0,122.0,1468.1,0.3,0.3
131.0,194.0,1449.5,0.1,0.2
132.0,222.0,1432.1,0.1,0.2
133.0,36.0,1446.7,0.3,0.3
134.0,206.0,1460.0,0.2,0.2
135.0,82.0,1462.0,0.1,0.2
136.0,174.0,1471.6,0.2,0.2
137.0,107.0,1453.9,0.2,0.2
138.0,81.0,1463.5,0.2,0.3
139.0,84.0,1475.6,0.2,0.2
140.0,114.0,1477.4,0.2,0.2
141.0,100.0,1489.3,0.2,0.2
142.0,95.0,1461.9,0.2,0.2
143.0,158.0,1437.1,0.3,0.3
144.0,93.0,1423.7,0.1,0.2
145.0,142.0,1426.0,0.1,0.2
146.0,197.0,1402.7,0.2,0.2
147.0,83.0,1391.2,0.3,0.2
148.0,119.0,1374.0,0.1,0.2
149.0,110.0,1364.1,0.1,0.2
150.0,155.0,1350.4,0.1,0.2
151.0,83.0,1353.8,0.2,0.1
152.0,194.0,1341.1,0.2,0.2
153.0,74.0,1358.0,0.1,0.3
154.0,102.0,1366.1,0.3,0.2
155.0,119.0,1350.7,0.1,0.1
156.0,176.0,1338.5,0.2,0.2
157.0,109.0,1355.7,0.1,0.2
158.0,130.0,1343.4,0.1,0.2
159.0,136.0,1363.4,0.2,0.3
160.0,74.0,1378.7,0.1,0.2
161.0,143.0,1364.7,0.2,0.2
162.0,100.0,1380.7,0.2,0.2
163.0,156.0,1370.5,0.2,0.2
164.0,116.0,1385.2,0.2,0.2
165.0,198.0,1399.7,0.2,0.3
166.0,151.0,1413.4,0.2,0.2
167.0,84.0,1419.5,0.2,0.2
168.0,176.0,1431.9,0.2,0.2
169.0,112.0,1409.5,0.2,0.2
170.0,140.0,1398.6,0.1,0.3
171.0,205.0,1416.3,0.2,0.3
172.0,118.0,1418.6,0.2,0.3
173.0,115.0,1402.8,0.1,0.2
174.0,131.0,1415.9,0.2,0.1
175.0,96.0,1432.2,0.2,0.2
176.0,110.0,1444.4,0.2,0.2
177.0,114.0,1449.9,0.2,0.2
178.0,133.0,1424.4,0.2,0.2
179.0,77.0,1436.4,0.2,0.3
180.0,141.0,1447.5,0.2,0.2
181.0,145.0,1434.5,0.2,0.3
182.0,128.0,1445.2,0.1,0.2
183.0,181.0,1456.1,0.2,0.1
184.0,124.0,1438.9,0.2,0.2
185.0,180.0,1449.8,0.2,0.3
186.0,104.0,1460.7,0.2,0.2
